customer_id,churn_probability,churn_flag,risk_segment,monthly_charges,tenure_months,contract_type,cx_risk_score,payment_method,stickiness_score,action_category
0137-UDEUO,0.41673919328669917,1,High,19.85,4,month-to-month,0,mailed check,0,Apply retention strategy
0139-IVFJG,0.9475301336297899,1,High,90.35,3,month-to-month,4,electronic check,2,Apply retention strategy
0141-YEAYS,0.6308476339159885,1,High,86.45,28,month-to-month,3,bank transfer (automatic),0,Apply retention strategy
0142-GVYSN,0.23826935548661005,0,Low,20.3,27,month-to-month,0,electronic check,0,No action required
0147-ESWWR,0.6868309949472199,1,High,101.25,40,month-to-month,2,electronic check,3,Apply retention strategy
0148-DCDOS,0.6309885499226664,1,High,94.7,26,month-to-month,3,bank transfer (automatic),2,Apply retention strategy
0151-ONTOV,0.8741331568237303,1,High,70.9,2,month-to-month,3,mailed check,0,Apply retention strategy
0156-FVPTA,0.4689484321393529,1,High,54.2,23,month-to-month,0,electronic check,2,Apply retention strategy
0164-APGRB,0.19892282729210908,0,Low,114.729,73,two year,0,electronic check,4,No action required
0164-XAIRP,0.03764237471495235,0,Low,19.55,25,two year,0,bank transfer (automatic),0,No action required
0168-XZKBB,0.7994973760843471,1,High,86.85,20,month-to-month,3,electronic check,1,Apply retention strategy
0174-QRVVY,0.008102765662473385,0,Low,25.35,72,two year,0,credit card (automatic),0,No action required
0177-PXBAT,0.5471020903744154,1,High,109.9,34,month-to-month,0,bank transfer (automatic),4,Apply retention strategy
0178-CIIKR,0.42388463684885075,1,High,19.95,4,month-to-month,0,mailed check,0,Apply retention strategy
0178-SZBHO,0.7036201384305318,1,High,87.2,48,month-to-month,3,electronic check,1,Apply retention strategy
0181-RITDD,0.10887211466106916,0,Low,108.15,63,two year,0,mailed check,4,No action required
0186-CAERR,0.26312366892052463,0,Medium,114.729,72,one year,0,bank transfer (automatic),4,Monitor customer
0187-QSXOE,0.8773751875225522,1,High,89.0,8,month-to-month,3,electronic check,2,Apply retention strategy
0187-WZNAB,0.5543486746282135,1,High,74.4,28,month-to-month,3,mailed check,1,Apply retention strategy
0188-GWFLE,0.42985608678511944,1,High,20.05,3,month-to-month,0,mailed check,0,Apply retention strategy
0191-EQUUH,0.056786292305363084,0,Low,35.05,26,two year,0,bank transfer (automatic),2,No action required
0191-ZHSKZ,0.6873150561343293,1,High,74.75,31,month-to-month,4,electronic check,3,Apply retention strategy
0193-ESZXP,0.2544005289620685,0,Medium,105.5,59,one year,0,credit card (automatic),4,Monitor customer
0195-IESCP,0.8371793015253691,1,High,85.25,11,month-to-month,4,electronic check,1,Apply retention strategy
0196-JTUQI,0.7188311244577205,1,High,75.2,10,month-to-month,3,credit card (automatic),0,Apply retention strategy
0196-VULGZ,0.8702178524711334,1,High,84.35,7,month-to-month,4,electronic check,1,Apply retention strategy
0197-PNKNK,0.25041244373571303,0,Medium,84.45,70,one year,3,bank transfer (automatic),1,Monitor customer
0201-MIBOL,0.2016871044019796,0,Low,102.4,67,two year,4,bank transfer (automatic),3,No action required
0201-OAMXR,0.26804896939733247,0,Medium,114.729,71,one year,0,credit card (automatic),4,Monitor customer
0203-HHYIJ,0.08424277955001883,0,Low,25.3,26,one year,0,bank transfer (automatic),0,No action required
0206-OYVOC,0.013133666154531935,0,Low,19.25,47,two year,0,mailed check,0,No action required
0206-TBWLC,0.27238357399894747,0,Medium,114.65,55,one year,0,mailed check,4,Monitor customer
0207-MDKNV,0.7921916737752337,1,High,105.1,16,month-to-month,0,electronic check,4,Apply retention strategy
0208-BPQEJ,0.21499944502115012,0,Low,19.4,13,month-to-month,0,bank transfer (automatic),0,No action required
0212-ISBBF,0.5917279678253753,1,High,50.35,23,month-to-month,4,electronic check,2,Apply retention strategy
0214-JHPFW,0.03757737184129045,0,Low,57.8,71,two year,1,bank transfer (automatic),3,No action required
0215-BQKGS,0.6422079273992625,1,High,84.3,31,month-to-month,4,credit card (automatic),1,Apply retention strategy
0218-QNVAS,0.3390817156362833,0,Medium,100.55,72,one year,3,bank transfer (automatic),2,Monitor customer
0219-QAERP,0.07056120131630794,0,Low,19.8,31,one year,0,credit card (automatic),0,No action required
0219-YTZUE,0.8368202065977569,1,High,84.8,5,month-to-month,4,bank transfer (automatic),0,Apply retention strategy
0220-EBGCE,0.9468865512372638,1,High,85.85,3,month-to-month,4,electronic check,1,Apply retention strategy
0221-NAUXK,0.13532961426586307,0,Low,19.95,11,one year,0,bank transfer (automatic),0,No action required
0221-WMXNQ,0.8971283394779989,1,High,75.35,5,month-to-month,4,electronic check,1,Apply retention strategy
0222-CNVPT,0.2896148619870926,0,Medium,48.8,53,month-to-month,4,credit card (automatic),3,Monitor customer
0224-HJAPT,0.7890414427961947,1,High,47.15,6,month-to-month,3,electronic check,0,Apply retention strategy
0224-NIJLP,0.06039511694136308,0,Low,20.15,9,two year,0,mailed check,0,No action required
0224-RLWWD,0.821263639892622,1,High,44.3,3,month-to-month,4,electronic check,0,Apply retention strategy
0225-ZORZP,0.9377755960435119,1,High,84.3,4,month-to-month,3,electronic check,1,Apply retention strategy
0228-MAUWC,0.5402986847298717,1,High,59.55,20,month-to-month,1,electronic check,1,Apply retention strategy
0229-LFJAF,0.03974625375689072,0,Low,69.65,73,two year,0,bank transfer (automatic),2,No action required
0230-UBYPQ,0.051066019669970916,0,Low,36.1,64,one year,0,bank transfer (automatic),2,No action required
0230-WEQUW,0.03515761227897344,0,Low,56.6,67,two year,0,bank transfer (automatic),3,No action required
0231-LXVAP,0.9144551267957222,1,High,75.9,2,month-to-month,1,electronic check,1,Apply retention strategy
0233-FTHAV,0.2592327328183154,0,Medium,79.2,61,one year,4,bank transfer (automatic),0,Monitor customer
0234-TEVTT,0.2190227370605319,0,Low,45.0,49,one year,4,credit card (automatic),2,No action required
0235-KGSLC,0.927420851695351,1,High,85.55,2,month-to-month,3,credit card (automatic),1,Apply retention strategy
0236-HFWSV,0.8079574664566803,1,High,93.35,16,month-to-month,3,electronic check,2,Apply retention strategy
0237-YFUTL,0.5023593443058488,1,High,109.65,51,month-to-month,0,bank transfer (automatic),4,Apply retention strategy
0238-WHBIQ,0.06749758154613804,0,Low,89.7,73,two year,0,credit card (automatic),4,No action required
0239-OXEXL,0.5274151528683498,1,High,84.25,47,month-to-month,4,mailed check,1,Apply retention strategy
0244-LGNFY,0.06957614815441024,0,Low,92.65,73,two year,0,bank transfer (automatic),4,No action required
0247-SLUJI,0.47027030312748636,1,High,19.7,2,month-to-month,0,mailed check,0,Apply retention strategy
0248-IPDFW,0.8638921181890871,1,High,50.1,2,month-to-month,3,electronic check,0,Apply retention strategy
0248-PGHBZ,0.08301078873287134,0,Low,92.45,68,two year,0,bank transfer (automatic),3,No action required
0253-ZTEOB,0.1657318367726644,0,Low,79.65,49,two year,2,electronic check,3,No action required
0254-FNMCI,0.18962283018500184,0,Low,109.9,73,two year,0,electronic check,4,No action required
0254-KCJGT,0.1554148982852546,0,Low,81.4,53,one year,0,credit card (automatic),3,No action required
0254-WWRKD,0.1277756774186073,0,Low,50.55,68,one year,3,credit card (automatic),0,No action required
0256-LTHVJ,0.6897539275144063,1,High,81.05,29,month-to-month,4,electronic check,1,Apply retention strategy
0257-KXZGU,0.42985948446609795,1,High,62.45,33,month-to-month,4,bank transfer (automatic),0,Apply retention strategy
0257-ZESQC,0.6040133620698557,1,High,75.2,28,month-to-month,3,bank transfer (automatic),1,Apply retention strategy
0258-NOKBL,0.9429949060771705,1,High,90.4,4,month-to-month,3,electronic check,1,Apply retention strategy
0259-GBZSH,0.938107154003428,1,High,85.65,3,month-to-month,4,electronic check,1,Apply retention strategy
0260-ZDLGK,0.5822804464850321,1,High,72.9,10,month-to-month,2,mailed check,3,Apply retention strategy
0263-FJTQO,0.05855316345339191,0,Low,70.5,51,two year,0,credit card (automatic),3,No action required
0264-CNITK,0.00734198193487912,0,Low,20.1,72,two year,0,bank transfer (automatic),0,No action required
0265-EDXBD,0.6420796374045602,1,High,74.9,33,month-to-month,4,electronic check,0,Apply retention strategy
0265-PSUAE,0.7409296081000304,1,High,100.7,17,month-to-month,4,bank transfer (automatic),3,Apply retention strategy
0266-CLZKZ,0.12307727564040989,0,Low,105.65,68,two year,1,bank transfer (automatic),3,No action required
0266-GMEAO,0.13200761315513085,0,Low,114.3,73,two year,0,credit card (automatic),4,No action required
0268-QKIWO,0.5822096262895188,1,High,19.75,4,month-to-month,0,electronic check,0,Apply retention strategy
0269-XFESX,0.06379515118569451,0,Low,24.35,24,one year,0,mailed check,0,No action required
0270-THENM,0.03906023613400536,0,Low,69.85,73,two year,0,bank transfer (automatic),2,No action required
0274-JKUJR,0.5790271913587074,1,High,58.85,8,month-to-month,3,mailed check,3,Apply retention strategy
0277-BKSQP,0.6974944447731077,1,High,54.4,9,month-to-month,4,electronic check,1,Apply retention strategy
0277-ORXQS,0.034390915058816224,0,Low,50.55,67,two year,2,bank transfer (automatic),3,No action required
0278-YXOOG,0.38916492044365564,0,Medium,21.05,6,month-to-month,0,mailed check,0,Monitor customer
0280-XJGEX,0.6958220630207366,1,High,103.7,50,month-to-month,3,bank transfer (automatic),2,Apply retention strategy
0281-CNTZX,0.010165859262977998,0,Low,19.95,64,two year,0,bank transfer (automatic),0,No action required
0282-NVSJS,0.29905901094338794,0,Medium,29.3,13,month-to-month,2,mailed check,1,Monitor customer
0285-INHLN,0.4299867537184367,1,High,54.75,28,month-to-month,3,credit card (automatic),1,Apply retention strategy
0289-IVARM,0.5694807574206735,1,High,60.55,36,month-to-month,3,electronic check,1,Apply retention strategy
0292-WEGCH,0.49068079943818865,1,High,86.2,55,month-to-month,2,electronic check,3,Apply retention strategy
0295-PPHDO,0.9618220739512258,1,High,95.45,2,month-to-month,3,electronic check,2,Apply retention strategy
0295-QVKPB,0.6911336639858975,1,High,63.95,6,month-to-month,0,credit card (automatic),2,Apply retention strategy
0297-RBCSG,0.26757207084952,0,Medium,65.35,20,one year,1,bank transfer (automatic),2,Monitor customer
0298-XACET,0.03554737897171881,0,Low,50.2,53,two year,1,mailed check,2,No action required
0301-FIDRB,0.037275679284088876,0,Low,63.8,73,two year,0,bank transfer (automatic),4,No action required
0301-KOBTQ,0.027749168950627904,0,Low,20.05,33,two year,0,bank transfer (automatic),0,No action required
0302-JOIVN,0.8658008438215582,1,High,101.15,9,month-to-month,4,electronic check,2,Apply retention strategy
0303-UNCIP,0.21586790591305166,0,Low,65.0,42,one year,3,mailed check,1,No action required
0303-WMMRN,0.39279913092079477,0,Medium,19.25,6,month-to-month,0,mailed check,0,Monitor customer
0305-SQECB,0.1970344911279208,0,Low,36.05,12,one year,0,mailed check,2,No action required
0306-JAELE,0.8900711220239873,1,High,96.1,6,month-to-month,0,electronic check,3,Apply retention strategy
0307-BCOPK,0.07886928947076954,0,Low,19.2,17,one year,0,mailed check,0,No action required
0308-GIQJT,0.22783135259151094,0,Low,105.75,72,one year,0,bank transfer (automatic),3,No action required
0308-IVGOK,0.2527880286012345,0,Medium,40.4,12,one year,0,credit card (automatic),1,Monitor customer
0310-MVLET,0.6734043949797458,1,High,99.15,62,month-to-month,3,electronic check,2,Apply retention strategy
0310-SUCIN,0.13478950276368767,0,Low,84.8,72,one year,0,bank transfer (automatic),4,No action required
0310-VQXAM,0.2559501763645235,0,Medium,19.85,10,month-to-month,0,mailed check,0,Monitor customer
0311-QYWSS,0.699946027673092,1,High,49.45,7,month-to-month,4,electronic check,1,Apply retention strategy
0311-UNPFF,0.6561647993378321,1,High,88.8,27,month-to-month,4,bank transfer (automatic),2,Apply retention strategy
0314-TKOSI,0.5984889947450899,1,High,55.15,7,month-to-month,4,mailed check,1,Apply retention strategy
0315-LVCRK,0.8542040923187308,1,High,84.8,12,month-to-month,3,electronic check,1,Apply retention strategy
0318-QUUOB,0.9458974997920575,1,High,80.55,2,month-to-month,3,electronic check,1,Apply retention strategy
0318-ZOPWS,0.018204807484222214,0,Low,20.15,50,two year,0,bank transfer (automatic),0,No action required
0319-QZTCO,0.7919316250399512,1,High,58.7,4,month-to-month,3,credit card (automatic),1,Apply retention strategy
0320-DWVTU,0.09916445416606165,0,Low,99.5,54,two year,0,mailed check,3,No action required
0320-JDNQG,0.7359296317205228,1,High,99.85,24,month-to-month,0,electronic check,4,Apply retention strategy
0322-CHQRU,0.8271031838592161,1,High,45.35,3,month-to-month,4,electronic check,0,Apply retention strategy
0322-YINQP,0.7663744820129966,1,High,48.55,2,month-to-month,3,mailed check,1,Apply retention strategy
0323-XWWTN,0.1059986341622746,0,Low,26.4,4,two year,0,mailed check,0,No action required
0324-BRPCJ,0.6608115224990667,1,High,100.2,69,month-to-month,4,electronic check,2,Apply retention strategy
0325-XBFAC,0.8614457262070504,1,High,94.7,9,month-to-month,4,electronic check,2,Apply retention strategy
0326-VDYXE,0.4509708358979655,1,High,97.65,71,one year,4,electronic check,2,Apply retention strategy
0327-WFZSY,0.5464864434787724,1,High,100.0,40,one year,3,electronic check,2,Apply retention strategy
0328-GRPMV,0.9284268886912332,1,High,70.1,2,month-to-month,3,electronic check,0,Apply retention strategy
0329-GTIAJ,0.9275584949686451,1,High,97.9,4,month-to-month,2,electronic check,3,Apply retention strategy
0330-BGYZE,0.3840600724962635,0,Medium,102.5,61,one year,4,bank transfer (automatic),2,Monitor customer
0330-IVZHA,0.8767342111982906,1,High,69.95,6,month-to-month,3,electronic check,0,Apply retention strategy
0334-GDDSO,0.9284106829749182,1,High,81.35,4,month-to-month,3,electronic check,0,Apply retention strategy
0334-ZFJSR,0.11394736165062037,0,Low,66.05,56,one year,0,credit card (automatic),2,No action required
0336-KXKFK,0.03614027801051646,0,Low,61.2,73,two year,0,credit card (automatic),4,No action required
0336-PIKEI,0.046613286743697635,0,Low,74.4,73,two year,0,bank transfer (automatic),3,No action required
0337-CNPZE,0.7545241530013888,1,High,106.3,42,month-to-month,3,electronic check,2,Apply retention strategy
0343-QLUZP,0.05367420768449254,0,Low,39.6,61,two year,4,bank transfer (automatic),1,No action required
0345-HKJVM,0.8654598519878965,1,High,89.3,7,month-to-month,4,electronic check,2,Apply retention strategy
0345-XMMUG,0.18486846705805324,0,Low,108.9,47,two year,1,credit card (automatic),3,No action required
0347-UBKUZ,0.17514233484817468,0,Low,19.9,16,month-to-month,0,mailed check,0,No action required
0348-SDKOL,0.44898493428351655,1,High,102.1,59,month-to-month,1,credit card (automatic),3,Apply retention strategy
0354-VXMJC,0.031966111617056404,0,Low,19.6,24,two year,0,credit card (automatic),0,No action required
0354-WYROK,0.7090934299541147,1,High,98.9,32,month-to-month,1,electronic check,3,Apply retention strategy
0356-ERHVT,0.5402938300788989,1,High,45.9,12,month-to-month,3,bank transfer (automatic),0,Apply retention strategy
0356-OBMAC,0.10286808277987948,0,Low,99.9,57,two year,0,bank transfer (automatic),2,No action required
0357-NVCRI,0.18302180013419386,0,Low,20.05,26,month-to-month,0,credit card (automatic),0,No action required
0361-HJRDX,0.041270129712647735,0,Low,64.35,69,two year,0,credit card (automatic),4,No action required
0362-RAOQO,0.01978910548681587,0,Low,19.65,41,two year,0,credit card (automatic),0,No action required
0362-ZBZWJ,0.6649695508414559,1,High,84.9,37,month-to-month,4,electronic check,1,Apply retention strategy
0363-QJVFX,0.5365490642994795,1,High,108.15,33,month-to-month,0,credit card (automatic),4,Apply retention strategy
0363-SVHYR,0.05972689693566037,0,Low,86.85,72,two year,0,bank transfer (automatic),4,No action required
0365-BZUWY,0.8121342112210052,1,High,102.55,18,month-to-month,3,electronic check,2,Apply retention strategy
0365-GXEZS,0.685956629830678,1,High,78.2,19,month-to-month,2,electronic check,1,Apply retention strategy
0365-TRTPY,0.5859880172825193,1,High,91.2,38,month-to-month,3,bank transfer (automatic),1,Apply retention strategy
0366-NQSHS,0.40602838968893934,1,High,19.35,3,month-to-month,0,mailed check,0,Apply retention strategy
0369-ZGOVK,0.3293558780061471,0,Medium,70.4,29,one year,4,bank transfer (automatic),0,Monitor customer
0373-AIVNJ,0.293846699983568,0,Medium,39.55,10,one year,3,mailed check,1,Monitor customer
0374-AACSZ,0.868691412196222,1,High,50.15,2,month-to-month,3,electronic check,1,Apply retention strategy
0374-FIUCA,0.009596169642880409,0,Low,20.4,66,two year,0,credit card (automatic),0,No action required
0374-IOEGQ,0.8163834476490179,1,High,44.6,4,month-to-month,3,electronic check,0,Apply retention strategy
0375-HVGXO,0.8133173818454464,1,High,34.7,2,month-to-month,3,electronic check,1,Apply retention strategy
0376-OIWME,0.7119881172733146,1,High,93.6,37,month-to-month,4,electronic check,3,Apply retention strategy
0376-YMCJC,0.7272638880507584,1,High,90.6,24,month-to-month,0,electronic check,2,Apply retention strategy
0377-JBKKT,0.32745482546700894,0,Medium,57.95,23,month-to-month,0,mailed check,2,Monitor customer
0378-CJKPV,0.12343758101071389,0,Low,112.1,73,two year,0,credit card (automatic),4,No action required
0378-NHQXU,0.7731756613283969,1,High,88.25,18,month-to-month,3,electronic check,1,Apply retention strategy
0378-TOVMS,0.9087415376675586,1,High,85.8,4,month-to-month,2,electronic check,2,Apply retention strategy
0378-XSZPU,0.18420027459043148,0,Low,60.3,59,one year,4,credit card (automatic),1,No action required
0379-DJQHR,0.11994472265052586,0,Low,81.35,68,two year,3,credit card (automatic),3,No action required
0380-NEAVX,0.5920675188290823,1,High,99.85,35,one year,4,electronic check,2,Apply retention strategy
0380-ZCSBI,0.26386530694727217,0,Medium,20.0,11,month-to-month,0,credit card (automatic),0,Monitor customer
0383-CLDDA,0.061373791708769145,0,Low,85.35,70,two year,0,credit card (automatic),4,No action required
0384-LPITE,0.25900513760266763,0,Medium,62.05,41,one year,4,credit card (automatic),3,Monitor customer
0384-RVBPI,0.5129286649088066,1,High,64.4,21,month-to-month,4,credit card (automatic),2,Apply retention strategy
0386-CWRGM,0.012808627722284208,0,Low,19.4,47,two year,0,mailed check,0,No action required
0388-EOPEX,0.9298452770797714,1,High,74.4,3,month-to-month,4,electronic check,1,Apply retention strategy
0390-DCFDQ,0.8725418712953222,1,High,70.45,2,month-to-month,3,mailed check,0,Apply retention strategy
0392-BZIUW,0.1460302551507806,0,Low,105.0,73,two year,4,credit card (automatic),3,No action required
0394-YONDK,0.008408134180299854,0,Low,25.15,71,two year,0,credit card (automatic),0,No action required
0396-HUJBP,0.4081702847042305,1,High,19.3,3,month-to-month,0,mailed check,0,Apply retention strategy
0396-UKGAI,0.3769818987538839,0,Medium,55.3,24,month-to-month,0,bank transfer (automatic),1,Monitor customer
0396-YCHWO,0.708878297889931,1,High,95.4,37,month-to-month,4,electronic check,2,Apply retention strategy
0397-GZBBC,0.5644400271718696,1,High,93.85,60,month-to-month,3,bank transfer (automatic),2,Apply retention strategy
0397-ZXWQF,0.008641376828429798,0,Low,20.5,68,two year,0,bank transfer (automatic),0,No action required
0401-WDBXM,0.14566100778692279,0,Low,105.55,73,two year,4,bank transfer (automatic),3,No action required
